Package,Dataset,Topic,Rows,Cols
abn,ex5.dag.data (ex5data),Data set for use with abn library examples,434,19
abn,ex4.dag.data (ex4data),Data set for use with abn library examples,2000,11
abn,ex3.dag.data (ex3data),Data set for use with abn library examples,1000,14
abn,ex2.dag.data (ex2data),Synthetic data set for use with abn library examples,10000,18
abn,ex1.dag.data (ex1data),Synthetic data set for use with abn library examples,10000,10
abn,ex0.dag.data (ex0data),Synthetic data set for use with abn library examples,300,30
Actigraphy,weekday,Data Set Containing Five Weekdays of Actigraph Data for One Subject,7200,3
Actigraphy,clinic_8pt,Data Set Containing AHI(Apnea Hypopnea Index) Information from 8 Subjects,8,2
Actigraphy,clinic_29pt_bmi,Data Set Containing BMI(Body Mass Index) Information from 29 Subjects,29,2
Actigraphy,clinic_29pt_ahi,Data Set Containing AHI(Apnea Hypopnea Index) Information from 29 Subjects,29,2
Actigraphy,act_8pt,Data Set Containing a One Day Average of Actigraph Data for 8 Subjects,1440,9
Actigraphy,act_29pt,Data Set Containing a One Day Average of Actigraph Data for 29 Subjects,1440,30
AdaptFit,absent,Absenteeism data,26414,6
adlift,motorcycledata,Motorcycle data.,133,2
ageprior,global_terrestrial,Global rock outcrop bias,23,2
ageprior,global_marine,Global rock outcrop bias,23,2
ageprior,global,Global rock outcrop bias,23,2
ageprior,WesternEurope_terrestrial,Western European rock outcrop bias,72,2
ageprior,WesternEurope_marine,Western European rock outcrop bias,72,2
ageprior,WesternEurope,Western European rock outcrop bias,72,2
ageprior,NorthAmerica_terrestrial,North American rock outcrop bias,23,2
ageprior,NorthAmerica_marine,North American rock outcrop bias,23,2
ageprior,NorthAmerica,North American rock outcrop bias,23,2
ageprior,Australia_terrestrial,Australian rock outcrop bias,72,2
ageprior,Australia_marine,Australian rock outcrop bias,72,2
ageprior,Australia,Australian rock outcrop bias,72,2
agRee,lesionBurden.M (lesionBurden),Total Lesion Burden,3,10
agRee,lesionBurden.G (lesionBurden),Total Lesion Burden,3,10
agRee,lesionBurden,Total Lesion Burden,3,10
agRee,judgeRatings,Ratings of Different Judges,6,4
Agreement,DCLHb,DCLHb dataset,299,4
AID,textile,Textile Data,27,1
AID,grades,Student Grades Data,42,1
anapuce,spleen,Spleen Data set,4360,13
anapuce,apo,Apo AI data,6226,17
anesrake,anes04,Demographic Data From 2004 American National Election Studies (ANES),1212,5
ape,woodmouse,Cytochrome b Gene Sequences of Woodmice,15,965
ape,mat5Mrand,Five Independent Trees,250,50
ape,mat5M3ID,Five Trees,250,50
ape,mat3,Three Matrices,27,9
ape,lmorigin.ex2,Multiple regression through the origin,17,2
ape,lmorigin.ex1,Multiple regression through the origin,41,4
ape,lice.D,Test of host-parasite coevolution,17,17
ape,hivtree.table,Phylogenetic Tree of 193 HIV-1 Sequences,192,2
ape,gopher.D,Test of host-parasite coevolution,15,15
ape,carnivora,Carnivora body sizes and life history traits,112,17
ape,HP.links,Test of host-parasite coevolution,15,17
aqp,sp4,Soil Chemical Data from Serpentinitic Soils of California,30,13
aqp,sp3,Soil Profile Data Example 3,46,17
aqp,sp2,Honcut Creek Soil Profile Data,154,22
aqp,sp1,Soil Profile Data Example 1,60,18
aqp,rruff.sample,Sample XRD Patterns,3000,8
aqp,munsell,Munsell-RGB Lookup Table for Common Soil Colors,8460,6
aratio,dupage99,DuPage County assessment ratio data set,2000,2
argosfilter,seal,Satellite tracking data from a ringed seal,1561,4
aster,redata (sim),Simulated Life History Data,10000,6
aster,radish,Life History Data on Raphanus sativus,858,11
aster,oats,Life History Data on Avena barbata,1642,11
aster,ladata (sim),Simulated Life History Data,500,3
aster,echinacea,Life History Data on Echinacea angustifolia,570,12
aster,echin2,Life History Data on Echinacea angustifolia,6127,9
aster,chamae3,Life History Data on Chamaecrista fasciculata,19062,11
aster,chamae2,Life History Data on Chamaecrista fasciculata,4478,8
aster,chamae,Life History Data on Chamaecrista fasciculata,6705,8
aster,aphid,Life History Data on Uroleucon rudbeckiae,378,4
attfad,GNW.s.network,Subset of a gene regulatory network from GeneNetWeaver,200,2
attfad,GNW.s.expression.data,Subset of an expression data matrix from GeneNetWeaver,100,500
autopls,murnau.X,Hyperspectral reflectance and plant attributes,40,26
BaM,x (wars),china.wars,104,15
BaM,texas,texas,195,1
BaM,terrorism,terrorism,14,5
BaM,strikes,strikes,11,1
BaM,retail.sales,retail.sales,44,7
BaM,recidivism,recidivism,27,5
BaM,pbc.vote,pbc.vote,516,11
BaM,opic,opic,25,4
BaM,nc.sub.dat,nc.sub.dat,100,3
BaM,military,military,35,10
BaM,marriage.rates,marriage.rates,0,16
BaM,italy.parties,italy.parties,7,10
BaM,iq,iq data frame,1,81
BaM,hanjack,hanjack,12,10
BaM,fdr,fdr,49,5
BaM,experts,Campaign fundraisign elicitations,8,3
BaM,executions,executions,17,6
BaM,ethnic.immigration,ethnic.immigration,22,3
BaM,elicspend,elicspend,7,3
BaM,dp,dp,17,8
BaM,contracep,contracep,15,5
BaM,child,child,50,8
BaM,cabinet.duration,cabinet.duration,11,2
BaM,africa,africa,33,10
BaM,afghan.deaths,afghan.deaths,0,52
BaM,actuarial,actuarial,5,7
BaM,DA_cwp,DA_cwp,103,15
BaSTA,sim1,Simulated dataset to demonstrate Bayesian Survival Trajectory Analysis (BaSTA),500,26
BayesFactor,puzzles,Puzzle completion times from Hays (1994),48,4
bayespref,YGGV,"Oviposition preference data from Yuba Gap, CA and Gardnerville, NV.",26,5
BayHaz,earthquakes,Waiting Times between Strong Earthquakes in the Appennino Abruzzese,47,2
bda,zr,occipitofrontal head circumference data,28829,3
BDgraph,FIV,Inernal functions and datasets,4,4
BDgraph,CellSignal,Inernal functions and datasets,11672,11
bear,TotalSingledata,Data for NCA analyze,324,5
bear,Replicateddata,Data for NCA analyze for replicated study,648,6
bear,Paralleldata (Paralleldata_bal),Data for NCA analyze for parallel study,313,4
bear,Paralleldata,Data for NCA analyze for parallel study,313,4
bear,Multipledata,Data for NCA analyze for multiple dose,506,5
bear,MultipleParadata,Data for NCA analyze for parallel with multiple dose study,383,4
bentcableAR,stagnant,Stagnant Band Height Data,29,2
bentcableAR,sockeye,Rivers Inlet Sockeye Abundance,21,2
betaper,soils,Tree abundance and soil data in Western Amazonia,9,4
betaper,HCP.coords,Tree counts in tropical montane forest fragments,16,2
betaper,HCP,Tree counts in tropical montane forest fragments,231,19
betaper,Amazonia,Tree abundance and soil data in Western Amazonia,1188,12
bethel,pop,Bethel population,1000,4
Biodem,valley,Raw marriage data,702,8
Biodem,surnames,Surname frequency table,10,3
Biodem,raw.mig,A raw migration data,4,4
Biodem,S,Systematic pressure matrix,12,12
Biodem,P,Column stochastic migration matrix,12,12
